model,features,accuracy,auc
random forest,with leakage,0.9967532467532467,0.9987341772151899
random forest,realistic,0.698051948051948,0.779493670886076
gbm,with leakage,0.9967532467532467,0.9966666666666666
gbm,realistic,0.737012987012987,0.8071729957805907
