Date,Price,Open,High,Low,Volume,ChangeP,Returns,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Return_roll_mean5,Return_roll_std5,Return_roll_mean10,Return_roll_std10,RSI,MACD,MACD_signal,MACD_hist,DayOfWeek,Month,Quarter,Direction,Regime
2020-04-06,90.46,92.0,93.59,88.18,8550000.0,2.6,2.597255302256994,7.498171177761528,7.496723460026211,-0.8962202883491333,-4.15282392026578,3.8671155397245327,3.611343530502973,-0.03636655463406209,5.002050284940627,44.195709750192655,-9.54201661739495,-11.231117970300513,1.6891013529055634,0,4,2,1,0.0
2020-04-07,95.37,92.2,96.5,91.84,4460000.0,5.43,5.427813398187056,2.597255302256994,7.498171177761528,7.496723460026211,2.6396480469270625,4.424748609976531,3.5896217257381156,1.2209339007493971,4.5789178061031315,49.585190768491636,-8.073652526223043,-10.599624881485019,2.5259723552619757,1,4,2,1,1.0
2020-04-08,95.89,94.75,96.7,92.56,4080000.0,0.55,0.5452448359022711,5.427813398187056,2.597255302256994,7.498171177761528,-0.8962202883491333,4.713041634826812,3.0766788795219235,1.7352824312604453,4.118341302183421,50.134461435255325,-6.7897359017866705,-9.837647085545349,3.0479111837586785,2,4,2,1,0.0
2020-04-09,99.05,99.0,102.0,98.2,5560000.0,3.3,3.2954426947544024,0.5452448359022711,5.427813398187056,2.597255302256994,7.496723460026211,3.87278548177245,2.6736848144464176,2.3439365003178354,3.8135430922897893,53.45329621421595,-5.45436263874636,-8.960990196185552,3.5066275574391916,3,4,2,1,1.0
2020-04-10,94.69,95.0,95.0,92.1,4440000.0,-4.4,-4.401817264008076,3.2954426947544024,0.5452448359022711,5.427813398187056,7.498171177761528,1.492787793418529,3.728204866988665,2.0049437443192537,4.268521233658572,48.642821192907135,-4.693778314270375,-8.107547819802516,3.413769505532141,4,4,2,0,0.0
2020-04-13,93.51,96.0,96.89,92.7,4670000.0,-1.25,-1.2461717182384546,-4.401817264008076,3.2954426947544024,0.5452448359022711,2.597255302256994,0.7241023893194394,3.8381541982114724,2.2956089645219864,3.8842881249302113,47.39954436048539,-4.138519617723432,-7.3137421793867,3.1752225616632677,0,4,2,0,0.0
2020-04-14,93.08,94.1,94.97,92.1,1990000.0,-0.46,-0.4598438669661071,-1.2461717182384546,-4.401817264008076,3.2954426947544024,5.427813398187056,-0.45342906371119324,2.7959631822254645,1.985659773132669,3.9763567990640967,46.92882732130199,-3.690627252990353,-6.589119194107431,2.8984919411170775,1,4,2,0,0.0
2020-04-15,90.5,92.11,92.9,89.55,4060000.0,-2.77,-2.7718091963902003,-0.4598438669661071,-1.2461717182384546,-4.401817264008076,0.5452448359022711,-1.1168398701696876,2.8916521167251177,1.7981008823285627,4.167056188101824,44.09905821521194,-3.5034679671967695,-5.971988948725299,2.4685209815285294,2,4,2,0,0.0
2020-04-16,91.95,90.2,92.65,90.0,2590000.0,1.6,1.6022099447513845,-2.7718091963902003,-0.4598438669661071,-1.2461717182384546,3.2954426947544024,-1.4554864201702913,2.280251898957441,1.20864953080108,3.6570899252362916,46.06737867871637,-3.2012381225756172,-5.4178387834953625,2.2166006609197453,3,4,2,1,0.0
2020-04-17,96.32,95.0,98.84,95.0,6190000.0,4.75,4.75258292550298,1.6022099447513845,-2.7718091963902003,-0.4598438669661071,-4.401817264008076,0.37539361773192026,2.9110498915421537,0.934090705575225,3.2079123769688302,51.59873359957692,-2.5793630235410916,-4.850143631504508,2.2707806079634167,4,4,2,1,1.0
2020-04-20,96.22,100.0,100.0,93.99,7160000.0,-0.1,-0.1038205980066386,4.75258292550298,1.6022099447513845,-2.7718091963902003,-1.2461717182384546,0.6038638417782834,2.794459911752026,0.6639831155488618,3.1657521251554663,51.46864896192239,-2.0707217006674057,-4.294259245337088,2.223537544669682,0,4,2,0,0.0
2020-04-21,89.35,93.5,94.43,89.01,6470000.0,-7.14,-7.139887757223036,-0.1038205980066386,4.75258292550298,1.6022099447513845,-0.4598438669661071,-0.7321449362731024,4.50404380129118,-0.5927869999921473,3.5372539422125566,43.37777146521734,-2.1966497616562037,-3.8747373486009113,1.6780875869447076,1,4,2,0,0.0
2020-04-22,88.67,85.7,89.77,83.8,5310000.0,-0.76,-0.7610520425293706,-7.139887757223036,-0.1038205980066386,4.75258292550298,-2.7718091963902003,-0.3299935055009365,4.3639895370013955,-0.7234166878353115,3.5146051552668562,42.6628803664087,-2.3245233164291363,-3.564694542166557,1.2401712257374204,2,4,2,0,0.0
2020-04-23,95.15,93.01,95.32,92.26,5300000.0,7.31,7.30799594000226,-0.7610520425293706,-7.139887757223036,-0.1038205980066386,1.6022099447513845,0.8111636935492387,5.573865188268408,-0.32216136331052575,4.188799142207436,50.95749273389049,-1.881295778813282,-3.2280147894959024,1.3467190106826203,3,4,2,1,1.0
2020-04-24,95.27,96.74,97.5,94.61,4050000.0,0.13,0.1261166579085552,7.30799594000226,-0.7610520425293706,-7.139887757223036,4.75258292550298,-0.11412955996964638,5.1216588719366385,0.13063202888113729,3.935895869217455,51.09857507589618,-1.503025818814379,-2.883016995359598,1.3799911765452189,4,4,2,1,0.0
2020-04-27,93.4,93.05,95.3,91.9,2640000.0,-1.96,-1.962842447779984,0.1261166579085552,7.30799594000226,-0.7610520425293706,-0.1038205980066386,-0.4859339299243154,5.187774065560813,0.05896495592698434,3.9701269469319667,48.7452736806012,-1.33870575535299,-2.574154747358276,1.2354489920052862,0,4,2,0,0.0
2020-04-28,93.75,92.5,94.1,92.1,1790000.0,0.37,0.3747323340471031,-1.962842447779984,0.1261166579085552,7.30799594000226,-7.139887757223036,1.0169900883297125,3.633997140894325,0.14242257602830538,3.9667796408511617,49.21668599419,-1.1667888309276435,-2.29268156407215,1.1258927331445063,1,4,2,1,0.0
2020-04-29,98.01,96.0,98.9,96.0,4880000.0,4.54,4.544000000000006,0.3747323340471031,-1.962842447779984,0.1261166579085552,-0.7610520425293706,2.0780004968355876,3.7574389729985658,0.8740034956673259,4.0434734387334546,54.680302899740695,-0.678970285227706,-1.969939308303261,1.290969023075555,2,4,2,1,1.0
2020-04-30,105.36,103.0,105.36,101.11,6730000.0,7.5,7.499234771962038,4.544000000000006,0.3747323340471031,-1.962842447779984,7.30799594000226,2.1162482632275434,3.8243628493948454,1.4637059783883912,4.55866710171489,62.23056623333202,0.297286071491385,-1.516494232344332,1.813780303835717,3,4,2,1,1.0
2020-05-04,105.24,106.5,110.0,104.12,8600000.0,-0.11,-0.1138952164009154,7.499234771962038,4.544000000000006,0.3747323340471031,0.1261166579085552,2.068245888365649,3.8569547511153064,0.9770581641980017,4.426396386129903,62.04881090398671,1.0491987604138444,-1.0033556337926968,2.052554394206541,0,5,2,0,1.0
2020-05-05,107.11,110.0,110.4,100.0,6390000.0,1.78,1.7768909160015247,-0.1138952164009154,7.499234771962038,4.544000000000006,-1.962842447779984,2.8161925611219507,3.1836493693668415,1.165129315598818,4.415309107798493,63.82206985593923,1.7755212516161833,-0.44758025671092083,2.223101508327104,1,5,2,1,1.0
2020-05-06,106.36,109.98,109.98,105.7,4760000.0,-0.7,-0.7002147325179722,1.7768909160015247,-0.1138952164009154,7.499234771962038,0.3747323340471031,2.6012031478089357,3.417447263802028,1.8090966180693246,3.4288620015027638,62.55953144254629,2.2645144142206846,0.09483867747540026,2.169675736745284,2,5,2,0,0.0
2020-05-07,102.95,104.37,105.0,102.05,3770000.0,-3.21,-3.206092515983449,-0.7002147325179722,1.7768909160015247,-0.1138952164009154,4.544000000000006,1.0511846446122448,4.02036129346697,1.5645925707239168,3.7082863255328706,57.03502886776955,2.349799491312865,0.5458308402428932,1.803968651069972,3,5,2,0,0.0
2020-05-08,103.05,103.8,104.5,102.75,2110000.0,0.1,0.0971345313258808,-3.206092515983449,-0.7002147325179722,1.7768909160015247,7.499234771962038,-0.42923540351498657,1.8047065758309915,0.8435064298562788,3.1221357693243146,57.154519817197844,2.3978171501022985,0.9162281022147742,1.4815890478875242,4,5,2,1,0.0
2020-05-11,102.45,103.45,103.7,101.5,1730000.0,-0.58,-0.5822416302765593,0.0971345313258808,-3.206092515983449,-0.7002147325179722,-0.1138952164009154,-0.5229046862901153,1.7963828307553995,0.7726706010377673,3.1481479239296353,56.14556463561091,2.3602490235116704,1.2050322864741536,1.1552167370375168,0,5,2,0,0.0
2020-05-12,103.89,102.11,104.8,101.11,1790000.0,1.41,1.405563689604683,-0.5822416302765593,0.0971345313258808,-3.206092515983449,1.7768909160015247,-0.5971701315694836,1.6815408693535203,1.109511214776234,2.999637463078733,58.059177841291394,2.418789676199779,1.4477837644192788,0.9710059117805003,1,5,2,1,0.0
2020-05-13,103.61,104.98,105.44,103.1,2480000.0,-0.27,-0.2695158340552518,1.405563689604683,-0.5822416302765593,0.0971345313258808,-0.7002147325179722,-0.5110303518769396,1.6859683880408527,1.0450863979659988,3.0239917367755593,57.533473632568025,2.4147541228790885,1.641177836111241,0.7735762867678475,2,5,2,0,0.0
2020-05-14,104.87,104.1,105.1,102.75,2620000.0,1.22,1.2160988321590631,-0.2695158340552518,1.405563689604683,-0.5822416302765593,-3.206092515983449,0.37340791775156285,0.8914058430262551,0.7122962811819044,2.7684751209252783,59.318579110410504,2.4845866195893223,1.8098595928068573,0.674727026782465,3,5,2,1,0.0
2020-05-15,106.65,106.0,108.5,106.0,3760000.0,1.7,1.6973395632688095,1.2160988321590631,-0.2695158340552518,1.405563689604683,0.0971345313258808,0.6934489241401486,1.04196380659661,0.13210676031258145,1.5100282501156495,61.76384187007018,2.6529786142245086,1.9784833970903875,0.6744952171341212,4,5,2,1,1.0
2020-05-18,108.58,110.0,110.6,108.01,2680000.0,1.81,1.8096577590248404,1.6973395632688095,1.2160988321590631,-0.2695158340552518,-0.5822416302765593,1.1718288020004284,0.839204017472471,0.324462057855157,1.595316848401129,64.27148848328693,2.9086364035914016,2.1645139983905906,0.7441224052008111,0,5,2,1,1.0
2020-05-19,112.74,109.0,114.6,109.0,6250000.0,3.83,3.831276478172773,1.8096577590248404,1.6973395632688095,1.2160988321590631,1.405563689604683,1.6569713597140463,1.4712466626859595,0.5299006140722818,1.9052987636209022,68.99197626509789,3.407643088666987,2.41313981644587,0.9945032722211167,1,5,2,1,1.0
2020-05-20,111.62,112.74,113.23,110.6,2120000.0,-0.99,-0.9934362249423369,3.831276478172773,1.8096577590248404,1.6973395632688095,-0.2695158340552518,1.5121872815366295,1.7224083633416358,0.5005784648298455,1.9284491144359235,66.44658812816034,3.6704244733995353,2.6645967478366033,1.005827725562932,2,5,2,0,0.0
2020-05-21,112.91,113.0,113.9,112.55,1950000.0,1.16,1.155706862569425,-0.9934362249423369,3.831276478172773,1.8096577590248404,1.2160988321590631,1.5001088876187019,1.7252132304218868,0.9367584026851328,1.4242931173964197,67.91488993982738,3.9373851084646248,2.919154419962208,1.0182306885024168,3,5,2,1,1.0
